SSID; BSS; RSSI; Kanal; Datum
;" ""7E:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:11:02"""
;" ""BA:FB:E4:4E:17:84""";" ""-86""";" ""44""";" ""18:10:55"""
;" ""BA:FB:E4:4E:17:84""";" ""-86""";" ""44""";" ""18:10:58"""
;" ""BA:FB:E4:4E:17:84""";" ""-86""";" ""44""";" ""18:11:02"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-88""";" ""36""";" ""18:10:58"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-88""";" ""36""";" ""18:11:02"""
UPC2696287;" ""38:43:7D:C9:A9:8D""";" ""-91""";" ""116""";" ""18:10:55"""
UPC2696287;" ""38:43:7D:C9:A9:8D""";" ""-91""";" ""116""";" ""18:10:58"""
UPC2696287;" ""38:43:7D:C9:A9:8D""";" ""-91""";" ""116""";" ""18:11:02"""
;" ""7A:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:10:55"""
;" ""7A:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:10:58"""
;" ""7A:83:C2:70:21:C4""";" ""-92""";" ""1""";" ""18:11:02"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-60""";" ""44""";" ""18:10:55"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-60""";" ""44""";" ""18:10:58"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-58""";" ""44""";" ""18:11:02"""
;" ""7E:8A:20:0F:32:CB""";" ""-81""";" ""6""";" ""18:10:55"""
;" ""7E:8A:20:0F:32:CB""";" ""-81""";" ""6""";" ""18:10:58"""
;" ""7E:8A:20:0F:32:CB""";" ""-81""";" ""6""";" ""18:11:02"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-71""";" ""11""";" ""18:10:55"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-71""";" ""11""";" ""18:10:58"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-69""";" ""11""";" ""18:11:02"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-84""";" ""6""";" ""18:10:55"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-84""";" ""6""";" ""18:10:58"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-84""";" ""6""";" ""18:11:02"""
eduroam;" ""22:E8:29:ED:30:6E""";" ""-90""";" ""11""";" ""18:10:55"""
eduroam;" ""22:E8:29:ED:30:6E""";" ""-90""";" ""11""";" ""18:10:58"""
eduroam;" ""22:E8:29:ED:30:6E""";" ""-88""";" ""11""";" ""18:11:02"""
;" ""1E:E8:29:EE:32:54""";" ""-80""";" ""36""";" ""18:10:55"""
;" ""1E:E8:29:EE:32:54""";" ""-80""";" ""36""";" ""18:10:58"""
;" ""1E:E8:29:EE:32:54""";" ""-80""";" ""36""";" ""18:11:02"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-84""";" ""6""";" ""18:10:55"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-84""";" ""6""";" ""18:10:58"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-84""";" ""6""";" ""18:11:02"""
HFU Guest;" ""B4:FB:E4:4E:14:C8""";" ""-86""";" ""44""";" ""18:11:02"""
